indx;name;lat;lon
30713;Усть-Ордынский;52.81;104.76
30727;Большое Голоустное;52.03;105.41
30729;Кабанск;52.04;106.65
30731;Горячинск;52.98;108.28
30739;Хоринск;52.16;109.76
30741;Замакта;52.76;109.96
30745;Сосново-Озерское;52.53;111.55
30751;Телемба;52.73;113.28
30757;Беклемишево;52.13;112.67
30764;Усугли;52.65;115.16
30768;Нерчинск;52;116.52
30772;Усть-Карск;52.7;118.8
30777;Сретенск;52.26;117.7
30812;Култук;51.71;103.69
30829;Новоселенгинск;51.1;106.65
30837;Мухоршибирь;51.03;107.82
30838;Петровский Завод;51.31;108.86
30843;Могзон;51.72;112
30844;Хилок;51.35;110.5
30846;Улеты;51.35;112.46
30853;Карымская;51.63;114.31
30858;Дарасун;51.2;113.72
30866;Балей;51.55;116.7
30874;Шелопугино;51.65;117.56
30875;Ямкун;51.53;118.33
30879;Нерчинский Завод;51.31;119.61
30911;Санага;50.71;102.78
30915;Цакир;50.43;103.6
30924;Петропавловка;50.62;105.32
30925;Кяхта;50.36;106.45
30934;Бичура;50.59;107.58
30935;Красный Чикой;50.36;108.75
30938;Менза;49.43;108.85
30944;Черемхово;50.58;110.15
30948;Букукун;49.45;111.13
30949;Кыра;49.56;111.96
30954;Мангут;49.7;112.67
30957;Акша;50.26;113.26
30961;Оловянная;50.95;115.58
30964;Нижний Цасучей;50.52;115.13
30968;Забайкальск;49.63;117.33
30971;Александровский З-Д;50.91;117.93
30972;Доно;50.88;118.58
31067;Курун-Урях;58.66;137.1
31087;Улья;58.85;141.86
31092;Талон;59.76;148.63
31152;Нелькан;57.65;136.14
31158;Батомга;56.6;136.3
31174;О.Большой Шантар;54.83;137.53
31253;Бомнак;54.71;128.93
31263;Локшак;54.73;130.45
31285;Удское;54.5;134.41
31286;Чумикан;54.71;135.3
31295;Магдагачи;53.46;125.81
31318;Нора;53.06;130.01
31325;Шевли;53.48;131.78
31329;Экимчан;53.06;132.93
31362;Литке;53.95;140.31
31366;Байдуков;53.3;141.64
31369;Николаевск-На-Амуре;53.15;140.7
31388;Норск;52.35;129.91
31397;Бысса;52.36;131.3
31416;Им.Полины Осипенко;52.41;136.5
31418;Веселая Горка;52.28;135.8
31439;Богородское;52.38;140.46
31442;Шимановск;51.98;127.65
31443;Мазаново;51.63;128.81
31445;Свободный;51.44;128.11
31459;Верхняя Томь;51.35;130.38
31474;Усть-Умальта;51.63;133.31
31478;Софийский Прийск;52.26;133.98
31484;Хуларин;51.41;135.08
31504;Циммермановка;51.35;139.1
31511;Сергеевка;50.78;127.3
31513;Белогорск;50.91;128.46
31527;Завитая;50.11;129.46
31534;Сектагли;50.43;131.01
31548;Верховье Урми;50.05;133.58
31561;Комсомольск-На-Амуре;50.6;137.13
31562;Нижне-Тамбовское;50.93;138.18
31566;Сегжема;50.34;138.4
31594;Архара;49.41;130.08
31624;Урми;49.4;133.23
31632;Кур;49.93;134.63
31655;Троицкое;49.45;136.56
31677;Солекуль;49.28;138
31679;Мопау;49.16;138.88
31683;Тумнин;49.65;140.08
31702;Облучье;49;131.08
31707;Екатерино-Никольское;47.73;130.96
31710;Ленинское;47.95;132.61
